Order_Date,Alloy_Type,Quantity,Revenue,Customer_ID,Region,Industry,Product_Code
2023-01-01,Alloy E (Nickel),78,2362.62,CUST-1015,Western,Chemical,PROD-020
2023-01-01,Alloy C (Copper),25,536.5,CUST-1005,Western,Construction,PROD-003
2023-01-01,Alloy C (Copper),34,783.36,CUST-1035,Southern,Electronics,PROD-008
2023-01-01,Alloy A (Aluminum),31,475.54,CUST-1023,Northeastern,Automotive,PROD-001
2023-01-01,Alloy E (Nickel),95,2835.75,CUST-1041,Midwestern,Chemical,PROD-010
2023-01-01,Alloy D (Titanium),81,3683.88,CUST-1008,Western,Aerospace,PROD-019
2023-01-01,Alloy C (Copper),21,439.53,CUST-1029,Western,Electronics,PROD-013
2023-01-01,Alloy C (Copper),27,613.44,CUST-1080,Western,Electronics,PROD-008
2023-01-01,Alloy D (Titanium),18,785.34,CUST-1048,Southern,Aerospace,PROD-004
2023-01-01,Alloy D (Titanium),78,3664.44,CUST-1063,Southern,Marine,PROD-004
2023-01-01,Alloy D (Titanium),29,1241.49,CUST-1001,Northeastern,Marine,PROD-009
2023-01-01,Alloy B (Steel),22,185.02,CUST-1008,Northeastern,Marine,PROD-007
2023-01-01,Alloy D (Titanium),63,2817.99,CUST-1053,Southern,Marine,PROD-009
2023-01-01,Alloy B (Steel),158,1384.08,CUST-1004,Southern,Construction,PROD-007
2023-01-01,Alloy E (Nickel),54,1566.54,CUST-1003,Northeastern,Aerospace,PROD-020
2023-01-01,Alloy A (Aluminum),79,1149.45,CUST-1062,Midwestern,Automotive,PROD-016
2023-01-01,Alloy B (Steel),54,442.26,CUST-1049,Western,Marine,PROD-012
2023-01-01,Alloy B (Steel),55,472.45,CUST-1060,Northeastern,Construction,PROD-002
2023-01-01,Alloy C (Copper),68,1561.28,CUST-1053,Southern,Construction,PROD-003
2023-01-01,Alloy D (Titanium),100,4546.0,CUST-1075,Midwestern,Aerospace,PROD-019
2023-01-01,Alloy C (Copper),37,790.32,CUST-1004,Northeastern,Construction,PROD-018
2023-01-02,Alloy A (Aluminum),260,4040.4,CUST-1059,Western,Automotive,PROD-001
2023-01-02,Alloy D (Titanium),100,4565.0,CUST-1067,Midwestern,Aerospace,PROD-004
2023-01-02,Alloy E (Nickel),529,15293.39,CUST-1033,Western,Chemical,PROD-020
2023-01-02,Alloy C (Copper),260,5564.0,CUST-1031,Midwestern,Construction,PROD-018
2023-01-02,Alloy E (Nickel),114,3353.88,CUST-1025,Southern,Aerospace,PROD-020
2023-01-02,Alloy B (Steel),92,764.52,CUST-1037,Western,Marine,PROD-012
2023-01-02,Alloy D (Titanium),388,17293.16,CUST-1080,Northeastern,Aerospace,PROD-019
2023-01-02,Alloy A (Aluminum),87,1357.2,CUST-1075,Northeastern,Aerospace,PROD-001
2023-01-02,Alloy E (Nickel),188,5408.76,CUST-1070,Northeastern,Electronics,PROD-005
2023-01-02,Alloy A (Aluminum),104,1496.56,CUST-1060,Southern,Aerospace,PROD-016
2023-01-02,Alloy D (Titanium),103,4741.09,CUST-1075,Midwestern,Marine,PROD-004
2023-01-02,Alloy B (Steel),189,1655.64,CUST-1030,Northeastern,Automotive,PROD-012
2023-01-02,Alloy B (Steel),62,518.94,CUST-1002,Southern,Automotive,PROD-017
2023-01-02,Alloy E (Nickel),95,2963.05,CUST-1042,Midwestern,Aerospace,PROD-015
2023-01-02,Alloy B (Steel),82,704.38,CUST-1004,Northeastern,Automotive,PROD-017
2023-01-02,Alloy A (Aluminum),171,2689.83,CUST-1002,Midwestern,Aerospace,PROD-001
2023-01-02,Alloy B (Steel),228,2010.96,CUST-1045,Southern,Automotive,PROD-002
2023-01-02,Alloy E (Nickel),70,2055.9,CUST-1029,Midwestern,Aerospace,PROD-015
2023-01-02,Alloy C (Copper),87,1920.09,CUST-1003,Western,Electronics,PROD-013
2023-01-02,Alloy E (Nickel),127,3978.91,CUST-1051,Western,Electronics,PROD-005
2023-01-02,Alloy D (Titanium),107,4693.02,CUST-1062,Northeastern,Aerospace,PROD-009
2023-01-02,Alloy B (Steel),84,749.28,CUST-1003,Southern,Construction,PROD-007
2023-01-02,Alloy B (Steel),235,1898.8,CUST-1001,Southern,Construction,PROD-007
2023-01-03,Alloy C (Copper),97,2170.86,CUST-1046,Northeastern,Construction,PROD-003
2023-01-03,Alloy D (Titanium),204,9122.88,CUST-1015,Northeastern,Marine,PROD-014
2023-01-03,Alloy D (Titanium),69,3073.26,CUST-1020,Western,Aerospace,PROD-004
2023-01-03,Alloy C (Copper),475,10459.5,CUST-1025,Southern,Construction,PROD-003
2023-01-03,Alloy A (Aluminum),133,1953.77,CUST-1043,Western,Automotive,PROD-001
2023-01-03,Alloy B (Steel),415,3610.5,CUST-1027,Midwestern,Automotive,PROD-002
2023-01-03,Alloy C (Copper),142,3231.92,CUST-1018,Northeastern,Electronics,PROD-003
2023-01-03,Alloy C (Copper),140,3187.8,CUST-1063,Northeastern,Electronics,PROD-003
2023-01-03,Alloy B (Steel),113,997.79,CUST-1030,Northeastern,Construction,PROD-017
2023-01-03,Alloy E (Nickel),202,6223.62,CUST-1061,Northeastern,Chemical,PROD-005
2023-01-03,Alloy B (Steel),204,1731.96,CUST-1030,Western,Construction,PROD-002
2023-01-03,Alloy D (Titanium),142,6639.92,CUST-1038,Southern,Marine,PROD-014
2023-01-03,Alloy C (Copper),73,1584.83,CUST-1033,Western,Construction,PROD-003
